Frasi;Contesto
ciao come stai;AL
come preparo una torta di fragole;AL
cosa ne pensi delle farfalle;AL
qual è il tuo colore preferito;AL
dove hai trascorso le ultime vacanze;AL
hai mai provato lo yoga;AL
cosa mangi di solito a colazione;AL
hai un animale domestico;AL
qual è la tua canzone preferita;AL
cosa pensi del futuro della tecnologia;AL
qual è il tuo film preferito;AL
hai mai viaggiato all'estero;AL
cosa fai nel tuo tempo libero;AL
preferisci il caffè o il tè;AL
qual è il tuo piatto preferito;AL
cosa ne pensi del cambiamento climatico;AL
qual è il tuo hobby preferito;AL
hai mai incontrato una celebrità;AL
come trascorri le serate;AL
cosa vorresti fare nel prossimo weekend;AL
qual è la tua stagione preferita;AL
hai mai fatto campeggio;AL
cosa ne pensi degli unicorni;AL
qual è il tuo libro preferito;AL
cosa ti piace fare quando piove;AL
credi nell'amore a prima vista;AL
qual è il tuo sport preferito;AL
hai mai partecipato a un concerto;AL
cosa ne pensi della cucina piccante;AL
qual è la tua destinazione da sogno;AL
cosa vorresti imparare nel prossimo anno;AL
preferisci la montagna o il mare;AL
qual è il tuo animale preferito;AL
cosa fai per rilassarti;AL
credi nei fenomeni paranormali;AL
qual è il tuo gioco da tavolo preferito;AL
cosa ne pensi delle piante succulente;AL
hai mai provato a dipingere;AL
qual è la tua bevanda preferita;AL
cosa vorresti fare prima di morire;AL
cosa ne pensi delle serie tv moderne;AL
qual è il tuo posto preferito in casa;AL
hai mai fatto paracadutismo;AL
cosa ti piace fare durante le vacanze;AL
qual è la tua materia preferita a scuola;AL
cosa ne pensi dei viaggi nello spazio;AL
preferisci i film d'azione o quelli commoventi;AL
qual è il tuo periodo storico preferito;AL
cosa fai quando ti senti triste;AL
credi nei sogni premonitori;AL
qual è il tuo strumento musicale preferito;AL
cosa pensi dell'intelligenza artificiale;AL
qual è il tuo dessert preferito;AL
cosa ti piace fare nelle giornate estive;AL
preferisci il freddo o il caldo;AL
cosa ne pensi dei social media;AL
qual è il tuo talento nascosto;AL
cosa fai quando ti annoi;AL
hai mai provato a ballare il tango;AL
credi negli extraterrestri;AL
qual è il tuo paese preferito;AL
cosa ne pensi delle mode attuali;AL
hai mai fatto immersioni subacquee;AL
qual è il tuo festival preferito;AL
cosa vorresti fare se avessi un giorno libero;AL
il sole splende;AL
mangio un gelato al cioccolato;AL
saltello di gioia;AL
leggo un libro interessante;AL
la pioggia cade dolcemente;AL
costruisco castelli di sabbia;AL
le foglie cadono dagli alberi;AL
mi perdo nei tuoi occhi;AL
corro veloce come il vento;AL
assaporo il sapore della pizza;AL
canto sotto la doccia;AL
saluto il nuovo giorno;AL
balliamo sotto la luna;AL
il fuoco scoppietta nel camino;AL
sogno ad occhi aperti;AL
coloro un quadro meraviglioso;AL
la risata è contagiosa;AL
mi perdo tra le stelle;AL
scrivo parole senza senso;AL
assaggio il gusto dell'avventura;AL
i fiori sbocciano in primavera;AL
nuoto nell'oceano di emozioni;AL
le montagne sono maestose;AL
sfoglio le pagine del destino;AL
cammino sulla strada infinita;AL
la musica riempie l'aria;AL
cucino una cena deliziosa;AL
i ricordi scaldano il cuore;AL
respira l'aria fresca;AL
le onde del mare sussurrano segreti;AL
esploro mondi immaginari;AL
un abbraccio avvolge l'anima;AL
racconto storie senza fine;AL
