Frasi;Contesto
Quanto manca al 2 settembre?;MC
Manca molto al 25 dicembre?;MC
Fra quanto sarà Pasqua quest'anno?;MC
Tra quanti giorni sarà il 4 luglio?;MC
Quanto tempo manca alle vacanze di Natale?;MC
Fra quanto inizieranno le ferie estive?;MC
Quanto manca al tuo compleanno?;MC
Mancano ancora tanti giorni al fine settimana?;MC
Quanto tempo rimane prima delle feste natalizie?;MC
Fra quanti giorni sarà capodanno?;MC
Manca ancora molto al primo dell'anno?;MC
Tra quanto sarà il mio compleanno?;MC
Fra quanto sarà l'inizio della primavera?;MC
Quanto manca all'arrivo dell'estate?;MC
Manca ancora tanto al primo giorno di scuola?;MC
Tra quanti giorni sarà la festa della mamma?;MC
Fra quanto sarà il primo giorno di ferie?;MC
Quanto manca al giorno del mio matrimonio?;MC
Manca ancora molto al ritorno a scuola?;MC
Tra quanti giorni sarà la festa del papà?;MC
Fra quanto sarà la fine dell'anno scolastico?;MC
Quanto manca all'inizio delle vacanze estive?;MC
Manca ancora tanto a San Valentino?;MC
Tra quanto sarà la festa della donna?;MC
Fra quanti giorni sarà il mio anniversario di matrimonio?;MC
Quanto manca al giorno del diploma?;MC
Manca ancora molto al mio pensionamento?;MC
Tra quanto sarà la festa di laurea di mio figlio?;MC
Fra quanti giorni sarà il compleanno della nonna?;MC
Quanto manca al matrimonio di mia sorella?;MC
Manca ancora tanto al concerto dei miei cantanti preferiti? ;MC
Tra quanto sarà il primo giorno di lavoro nella nuova azienda?;MC
Fra quanto sarà pronto il nuovo ufficio?;MC
Quanto manca all'inaugurazione della mostra d'arte moderna?;MC
Manca ancora molto all'apertura del nuovo centro commerciale?;MC
Tra quanti giorni saranno ultimate le ristrutturazioni di casa mia?;MC
Fra quanto sarà finito il restauro della chiesa del paese?;MC
Quanto manca alla conclusione dei mondiali di calcio?;MC
Manca ancora tanto alla fine dei giochi olimpici?;MC
Tra quanto sarà pronto il nuovo ponte cittadino?;MC
Fra quanti giorni sarà inaugurato il parco giochi per bambini?;MC
Quanto manca all'apertura della nuova metropolitana?;MC
Manca ancora molto alla conclusione dei lavori stradali?;MC
Tra quanto sarà operativo il nuovo ospedale?;MC
Fra quanto sarà inaugurato il monumento ai caduti in guerra?;MC
Quanto manca alla fine della campagna elettorale?;MC
Manca ancora tanto alle prossime elezioni?;MC
Tra quanti giorni sarà pronto il mio nuovo guardaroba?;MC
Fra quanto sarà consegnato il mobile che ho ordinato?;MC
Quanto manca all'arrivo del pacco che ho spedito?;MC
Manca ancora molto alla pubblicazione del mio libro?;MC
Tra quanto sarà disponibile la nuova console per videogiochi?;MC
Fra quanti giorni sarà pronta la torta che ho ordinato in pasticceria?;MC
Quanto manca alla prima dello spettacolo teatrale?;MC
Manca ancora tanto all'arrivo della fibra ottica a casa mia?;MC
Tra quanto sarà attivata la nuova offerta telefonica?;MC
Fra quanti minuti saranno le 14:30?;MC
Quanto manca alle 17:45?;MC
Manca ancora molto alle 21:00?;MC
Tra quanto saranno le 9 di mattina?;MC
Fra quanto sarà mezzogiorno?;MC
Quanto manca alle 14:25?;MC
Manca ancora tanto alle 16?;MC
Tra quanti minuti saranno le 18:15?;MC
Fra quanto saranno le 20:30 di sera?;MC
Quanto manca alle 22:45 della notte?;MC
Manca ancora molto a mezzanotte?;MC
Tra quanto sarà l'una di notte?;MC
Fra quanti minuti saranno le 5 del mattino?;MC
Quanto manca alle 7:30 di mattina?;MC
Manca ancora tanto alle 10 in punto?;MC
Tra quanto saranno le 19 di sera?;MC
Fra quanti minuti saranno le 23?;MC
Quanto manca all'orario di chiusura del negozio?;MC
Manca ancora molto alla fine del turno di lavoro?;MC
Tra quanto inizia il coprifuoco serale?;MC
Fra quanti minuti sarà l'ora di pranzo?;MC
Quanto manca all'inizio della partita di calcio?;MC
Manca ancora tanto alla prima del film al cinema?;MC
Tra quanto sarà l'orario di visita in ospedale?;MC
Fra quanti minuti inizierà lo spettacolo a teatro?;MC
Quanto manca all'apertura giornaliera del museo?;MC
Manca ancora molto alla chiusura della biblioteca?;MC
Tra quanto sarà l'ora di uscita da scuola?;MC
Fra quanti minuti suonerà la campanella?;MC
Quanto manca all'inizio della conferenza?;MC
Manca ancora tanto alla fine della lezione universitaria?;MC
Tra quanto sarà ora di andare a letto?;MC
Fra quanti minuti sarà ora di cenare?;MC
Quanto manca all'ora della merenda pomeridiana?;MC
Manca ancora molto al tuo arrivo qui da me?;MC
Tra quanto partirai per le vacanze?;MC
Fra quanti minuti sarai pronto per uscire?;MC
Quanto manca all'inizio del tuo turno di lavoro?;MC
Manca ancora tanto al tuo ritorno a casa stasera?;MC
Tra quanto finirai di preparare la cena?;MC
Fra quanti minuti arriverai alla stazione?;MC
Quanto manca alla fine della riunione di lavoro?;MC
Manca ancora molto al termine del tuo allenamento in palestra?;MC
Tra quanto sarai libero per uscire con me?;MC
