Frasi;Contesto
Puoi mettere play alla musica?;MU
Fai partire questa canzone per favore.;MU
Premere play per la traccia successiva.;MU
Puoi riprodurre la mia playlist preferita?;MU
Perché non fai partire il CD che ho inserito?;MU
Metti in riproduzione la radio per piacere!;MU
Clicca play sulla tua app musicale.;MU
Premi play sullo stereo per favore!;MU
Puoi far partire un po' di musica rilassante?;MU
Metti in riproduzione qualche brano allegro!;MU
Fai partire la nostra canzone preferita!;MU
Perché non riproduci il tuo vinile preferito?;MU
Premere play sul mio iPod per ascoltare dell'ottima musica.;MU
Puoi mettere in riproduzione la mia chiavetta USB?;MU
Clicca play sulla radio per piacere!;MU
Perché non fai partire il tuo disco preferito?;MU
Metti in play la mia compilation dance.;MU
Premi start sulla tua playlist romantica.;MU
Fai partire qualche brano rilassante.;MU
Metti in riproduzione questa raccolta jazz.;MU
Premi play sul lettore CD per favore!;MU
Puoi avviare la riproduzione del mio iPod?;MU
Perché non fai partire la radio?;MU
Clicca play su qualche bella canzone pop.;MU
Metti in riproduzione il nostro gruppo preferito!;MU
Premi start sul lettore MP3 per piacere!;MU
Fai partire una compilation di classici anni '80!;MU
Avvia la riproduzione di questo CD di musica natalizia.;MU
Metti in play i nostri pezzi dance da discoteca!;MU
Premi play su Spotify per ascoltare le hit del momento!;MU
Fai partire la nostra playlist romantica per creare l'atmosfera giusta!;MU
Metti in riproduzione della rilassante musica lounge.;MU
Premi start sull'album dei miei cantanti preferiti!;MU
Perché non fai partire la radio?;MU
Puoi avviare la riproduzione di questa chiavetta USB?;MU
Clicca play sul lettore musicale per favore!;MU
Metti in play il mio gruppo heavy metal preferito!;MU
Fai partire il CD di musica classica che ho inserito.;MU
Premi start sulla radio per ascoltare le ultime hit!;MU
Perché non riproduci il tuo vinile di musica anni '60?;MU
Metti in play la nostra compilation di successi italiani!;MU
Puoi avviare la riproduzione della mia playlist EDM?;MU
Fai partire quel brano techno che mi piace tanto!;MU
Premi play sullo stereo e ascoltiamo musica a palla!;MU
Perché non riproduci il tuo CD di musica rock?;MU
Metti in esecuzione la raccolta dei nostri pezzi hip hop preferiti!;MU
Puoi premere play sulla radio?;MU
