Frasi;Contesto
Puoi impostare un timer di 5 minuti?;TM
Attiva un timer per 10 minuti per favore.;TM
Metti un timer di un quarto d'ora.;TM
Imposta una sveglia per 20 minuti.;TM
Puoi mettere un countdown di mezz'ora?;TM
Perché non attivi un timer di 45 minuti?;TM
Saresti così gentile da impostare un timer di un'ora?;TM
Potresti mettere una sveglia che suoni fra 2 ore?;TM
Puoi impostare un avviso tra 3 ore?;TM
Perché non attivi un timer per ricordarci fra 4 ore?;TM
Metti una sveglia per 5 ore da adesso per favore.;TM
Potresti impostare un countdown per 6 ore?;TM
Puoi mettere un avviso tra 7 ore?;TM
Attiva un timer che suoni tra 8 ore.;TM
Imposta una sveglia per 9 ore da ora per favore.;TM
Metti un countdown per 10 ore da adesso.;TM
Potresti impostare un timer per 11 ore?;TM
Attiva un segnale acustico per 12 ore da ora per piacere.;TM
Puoi mettere una sveglia per 13 ore da adesso?;TM
Perché non imposti un countdown per 14 ore?;TM
Saresti così gentile da attivare un timer per 15 ore?;TM
Potresti mettere un segnale tra 16 ore?;TM
Imposta una sveglia per 17 ore da adesso per favore.;TM
Metti un countdown per 18 ore da ora.;TM
Puoi attivare un timer per 19 ore da adesso?;TM
Perché non imposti un segnale per 20 ore?;TM
Potresti mettere una sveglia per 21 ore da ora?;TM
Saresti così gentile da attivare un countdown per 22 ore?;TM
Imposta un timer che suoni tra 23 ore per piacere.;TM
Metti un segnale per 24 ore da adesso.;TM
Puoi impostare una sveglia per 25 ore da ora?;TM
Perché non attivi un countdown per 26 ore da adesso?;TM
Potresti mettere un timer per 27 ore da ora?;TM
Saresti così gentile da impostare un segnale per 28 ore?;TM
Metti una sveglia per 29 ore da adesso per favore.;TM
Puoi attivare un countdown per 30 ore da ora?;TM
Perché non imposti un timer per 31 ore da adesso?;TM
Potresti mettere un segnale per 32 ore da ora?;TM
Saresti così gentile da attivare una sveglia per 33 ore?;TM
Imposta un countdown per 34 ore da adesso per piacere.;TM
Metti un timer che suoni tra 35 ore da ora.;TM
Puoi impostare un segnale per 36 ore da adesso?;TM
Perché non attivi una sveglia per 37 ore da ora?;TM
Potresti mettere un countdown per 38 ore da adesso?;TM
Saresti così gentile da impostare un timer per 39 ore?;TM
Metti un segnale tra 40 ore da ora per favore.;TM
Puoi attivare una sveglia per 41 ore da adesso?;TM
Perché non imposti un countdown per 42 ore da ora?;TM
Potresti mettere un timer per 43 ore da adesso?;TM
Saresti così gentile da attivare un segnale per 44 ore?;TM
Imposta una sveglia per 45 ore da ora per piacere.;TM
Metti un countdown per 46 ore da adesso.;TM
Puoi impostare un timer per 47 ore da ora?;TM
Perché non attivi un segnale per 48 ore da adesso?;TM
Potresti mettere una sveglia per 49 ore da ora?;TM
Saresti così gentile da impostare un countdown per 50 ore?;TM
Metti un timer tra 51 ore da adesso per favore.;TM
Puoi attivare un segnale per 52 ore da ora?;TM
Perché non imposti una sveglia per 53 ore da adesso?;TM
Potresti mettere un countdown per 54 ore da ora?;TM
Saresti così gentile da attivare un timer per 55 ore?;TM
Imposta un segnale tra 56 ore da adesso per piacere.;TM
Metti una sveglia per 57 ore da ora.;TM
Puoi attivare un countdown per 58 ore da adesso?;TM
Perché non imposti un timer per 59 ore da ora?;TM
Potresti mettere un segnale per 1 giorno da adesso?;TM
Saresti così gentile da attivare una sveglia per 2 giorni?;TM
Imposta un countdown per 3 giorni da ora per favore.;TM
Metti un timer tra 4 giorni da adesso.;TM
Puoi impostare un segnale per 5 giorni da ora?;TM
Perché non attivi una sveglia per 6 giorni da adesso?;TM
Potresti mettere un countdown per 7 giorni da ora?;TM
Saresti così gentile da impostare un timer per 1 settimana?;TM
Metti un segnale tra 2 settimane da adesso per favore.;TM
Puoi attivare una sveglia per 3 settimane da ora?;TM
Perché non imposti un countdown per 4 settimane da adesso?;TM
Potresti mettere un timer per 1 mese da ora?;TM
Saresti così gentile da attivare un segnale per 2 mesi?;TM
Imposta una sveglia per 3 mesi da adesso per piacere.;TM
Metti un countdown per 4 mesi da ora.;TM
Puoi impostare un timer per 5 mesi da adesso?;TM
Perché non attivi un segnale per 6 mesi da ora?;TM
Potresti mettere una sveglia per 7 mesi da adesso?;TM
Saresti così gentile da impostare un countdown per 8 mesi?;TM
Metti un timer tra 9 mesi da ora per favore.;TM
Puoi attivare un segnale per 10 mesi da adesso?;TM
Perché non imposti una sveglia per 11 mesi da ora?;TM
Potresti mettere un countdown per 1 anno da adesso?;TM
Saresti così gentile da attivare un timer per 2 anni?;TM
Imposta un segnale tra 3 anni da ora per piacere.;TM
Metti una sveglia per 4 anni da adesso.;TM
Puoi attivare un countdown per 5 anni da ora?;TM
Perché non imposti un timer per 10 anni da adesso?;TM
Potresti mettere un segnale per 20 anni da ora?;TM
Saresti così gentile da attivare una sveglia per 30 anni?;TM
Imposta un countdown per 40 anni da adesso per favore.;TM
Metti un timer che suoni tra 50 anni da ora.;TM
Puoi impostare un segnale per 100 anni da adesso?;TM
Perché non attivi una sveglia per 1000 anni da ora?;TM
Potresti mettere un countdown per 1 milione di anni da adesso?;TM
