Frasi;Contesto
Puoi alzare il volume al 10%?;VL
Aumenta il volume al 20% per favore.;VL
Porta il volume al 30%.;VL
Poni il volume al 40% per piacere.;VL
Metti il volume al 50%.;VL
Imposta il volume al 60% per favore.;VL
Alza il volume fino al 70%.;VL
Aumenta il volume all'80% per piacere.;VL
Porta il volume al 90%.;VL
Poni il volume al massimo, al 100%.;VL
Puoi abbassare il volume al 90%?;VL
Diminuisci il volume all'80% per favore.;VL
Porta il volume al 70%.;VL
Poni il volume al 60% per piacere.;VL
Metti il volume al 50%.;VL
Imposta il volume al 40% per favore.;VL
Abbassa il volume fino al 30%.;VL
Diminuisci il volume al 20% per piacere.;VL
Porta il volume al 10%.;VL
Poni il volume al minimo, allo 0%.;VL
Puoi alzare il volume di 10 punti?;VL
Aumenta il volume di 20 punti per favore.;VL
Alza il volume di 30 punti.;VL
Incrementa il volume di 40 punti per piacere.;VL
Metti il volume più alto di 50 punti.;VL
Imposta il volume più forte di 60 punti.;VL
Alza il volume di 70 punti.;VL
Aumenta il volume di 80 punti per favore.;VL
Incrementa il volume di 90 punti.;VL
Rendi il volume più alto di 100 punti per piacere.;VL
Puoi abbassare il volume di 10 punti?;VL
Diminuisci il volume di 20 punti per favore.;VL
Abbassa il volume di 30 punti.;VL
Riduci il volume di 40 punti per piacere.;VL
Metti il volume più basso di 50 punti.;VL
Imposta il volume più piano di 60 punti.;VL
Abbassa il volume di 70 punti.;VL
Diminuisci il volume di 80 punti per favore.;VL
Riduci il volume di 90 punti.;VL
Rendi il volume più basso di 100 punti per piacere.;VL
Puoi impostare il volume a un quarto del massimo?;VL
Metti il volume a metà per favore.;VL
Porta il volume ai tre quarti del massimo per piacere.;VL
Imposta il volume a un decimo del massimo.;VL
Poni il volume a due decimi del totale.;VL
Metti il volume a tre decimi del massimo per favore.;VL
Porta il volume a quattro decimi del totale.;VL
Imposta il volume a cinque decimi per piacere.;VL
Poni il volume a sei decimi del massimo.;VL
Metti il volume a sette decimi del totale per favore.;VL
Porta il volume a otto decimi per piacere.;VL
Imposta il volume a nove decimi del massimo.;VL
Poni il volume a un ventesimo del totale.;VL
Metti il volume a due ventesimi per favore.;VL
Porta il volume a tre ventesimi del massimo per piacere.;VL
Imposta il volume a quattro ventesimi del totale.;VL
Poni il volume a cinque ventesimi per favore.;VL
Metti il volume a sei ventesimi del massimo.;VL
Porta il volume a sette ventesimi per piacere.;VL
Imposta il volume a otto ventesimi del totale.;VL
Poni il volume a nove ventesimi per favore.;VL
Metti il volume a dieci ventesimi del massimo.;VL
Porta il volume a un cinquantesimo del totale.;VL
Imposta il volume a due cinquantesimi per piacere.;VL
Poni il volume a tre cinquantesimi del massimo per favore.;VL
Metti il volume a quattro cinquantesimi del totale.;VL
Porta il volume a cinque cinquantesimi per piacere.;VL
Imposta il volume a sei cinquantesimi del massimo.;VL
Poni il volume a sette cinquantesimi per favore.;VL
Metti il volume a otto cinquantesimi del totale.;VL
Porta il volume a nove cinquantesimi per piacere.;VL
Imposta il volume a dieci cinquantesimi del massimo.;VL
Puoi abbassare il volume a un quarto del massimo?;VL
Diminuisci il volume alla metà per favore.;VL
Riduci il volume a tre quarti del massimo per piacere.;VL
Abbassa il volume a un decimo del totale.;VL
Poni il volume a due decimi del massimo.;VL
Diminuisci il volume a tre decimi per favore.;VL
Riduci il volume a quattro decimi del totale.;VL
Abbassa il volume a cinque decimi per piacere.;VL
Poni il volume a sei decimi del massimo.;VL
Diminuisci il volume a sette decimi per favore.;VL
Riduci il volume a otto decimi del totale.;VL
Abbassa il volume a nove decimi per piacere.;VL
Poni il volume a un ventesimo del massimo.;VL
Diminuisci il volume a due ventesimi per favore.;VL
Riduci il volume a tre ventesimi del totale.;VL
Abbassa il volume a quattro ventesimi per piacere.;VL
Poni il volume a cinque ventesimi del massimo.;VL
Diminuisci il volume a sei ventesimi per favore.;VL
Riduci il volume a sette ventesimi del totale.;VL
Abbassa il volume a otto ventesimi per piacere.;VL
Poni il volume a nove ventesimi del massimo.;VL
Diminuisci il volume a dieci ventesimi per favore.;VL
Riduci il volume a un cinquantesimo del totale.;VL
Abbassa il volume a due cinquantesimi per piacere.;VL
Poni il volume a tre cinquantesimi del massimo.;VL
Diminuisci il volume a quattro cinquantesimi per favore.;VL
Riduci il volume a cinque cinquantesimi del totale.;VL
Abbassa il volume a sei cinquantesimi per piacere.;VL
