Frasi;Contesto
what time it is;OR
you have a watch;OR
what time it is now;OR
can you tell me what time the clock is showing;OR
can you tell me what time it is now;OR
could you tell me what time it is now;OR
could you kindly tell me what time it is;OR
sorry could you kindly tell me what time it is;OR
could you kindly tell me what time the clock is;OR
would you kindly tell me what time it is;OR
could you please tell me what time it is;OR
do you happen to know what time it is;OR
do you have any idea what time it is;OR
could you tell me the current time;OR
i would like to know the exact time;OR
you could tell me what time it is now;OR
would you be so kind as to tell me the correct time;OR
would you be so kind as to tell me what time it is;OR
would you be so kind as to tell me the current time;OR
would you be so kind as to tell me the time;OR
could you give me the precise time;OR
could you give me an indication of the time;OR
would you be so kind as to give me the time;OR
can you tell me what time it is;OR
i would like to know the exact time at this time;OR
can you give me the current time;OR
would you tell me what the time is right now;OR
would you tell me the current time;OR
you could tell me what time it is;OR
you have any idea what time it is now;OR
could you tell me the precise time;OR
could you tell me what time it is;OR
could you tell me the correct time;OR
would you tell me what time the clock is showing;OR
i would like to know what time it is right now;OR
would you be so kind as to provide me with the current time;OR
you tell me what time it is;OR
could you share with me the current time;OR
could you tell me what time the clock is showing;OR
can you tell me the time right now;OR
do you have any idea what time it is now;OR
could you tell me the time right now;OR
would you tell me what time it is now;OR
can you tell me the current time;OR
could you kindly tell me the current time;OR
i would like to know what time the clock is showing;OR
could you kindly tell me the time;OR
do you know what time it is now;OR
would you tell me the exact time;OR
can you tell me what time the clock is now;OR
i would like to know the current time;OR
what time it is right now;OR
you can tell me what time it is;OR
i would like to know what time it is;OR
you know what time it is now;OR
can you tell me what time it is right now;OR
could you tell me what time it is right now;OR
tell me what time the clock is showing;OR
would you tell me what time the clock is now;OR
could you tell me what time the clock is now;OR
i would like to be aware of the current time;OR
what time it is at this instant;OR
you know what time and hour;OR
you tell me what time it is currently;OR
you could tell me what time it is right now;OR
you would know what time it is now;OR
you can tell me the current time;OR
i would like to know what time the clock is now;OR
could you tell me the right time;OR
you know what the current time is;OR
could you inform me what the current time is;OR
i would like to know the exact time right now;OR
could you tell me the current time now;OR
i would like to know what time it is now;OR
could you tell me what time it is currently;OR
could you tell me what time it is at this instant;OR
could you tell me the time at this instant now;OR
would you tell me what time it is at this instant now;OR
you could tell me the current time now;OR
i would like to know the exact time currently;OR
you could tell me the current time at this time;OR
know what time it is now;OR
tell me what time it is at this instant;OR
tell me what time it is at this instant now;OR
what the weather is going to be like today;MT
do you think it will rain later;MT
what is the weather forecast for tomorrow;MT
the possibility of thunderstorms in the afternoon;MT
will be a nice sunny day tomorrow;MT
it is cold outside i need to put on my coat;MT
will it be a cloudy day or will it be sunny;MT
what temperature is expected for this weekend;MT
will be the weather conditions;MT
good weather is expected for the weekend;MT
it will be hot today;MT
it will rain day will remain dry;MT
what is the weather forecast;MT
what temperature is forecast for tomorrow;MT
there will be wind today;MT
thunderstorms are expected in the coming hours;MT
will it be a sunny or cloudy day;MT
will it be a nice day or rainy;MT
it will be cold tomorrow morning;MT
what is the weather forecast for the weekend;MT
do you think there will be rain tomorrow;MT
it will be a nice ensoleillated day;MT
snow is forecast for the next few days;MT
risk of thunderstorms this afternoon;MT
it will be a warm and sunny day;MT
good weather over the weekend;MT
what is the expected temperature for today;MT
looks like there will be clouds and rain tomorrow and correct;MT
it is cold outside this morning;MT
precipitation is expected in the next few hours;MT
it will be a cloudy and rainy day;MT
it looks like it will be nice today am i right;MT
it will rain in the afternoon better bring an umbrella;MT
what the temperature will be tomorrow;MT
the risk of severe thunderstorms in the coming hours;MT
it will be a nice sunny day today;MT
fog is expected tomorrow morning;MT
it will be cold over the weekend;MT
rain this afternoon;MT
it will be a beautiful sunny day;MT
thunderstorms or clearing is expected for the afternoon;MT
will it be hot today or will it be a cool day;MT
a nice sunny day tomorrow;MT
what temperature is expected today;MT
chance of rain over the weekend;MT
it will be a cloudy morning;MT
precipitation is expected in the afternoon;MT
it will be good weather over the weekend;MT
what is the weather forecast for today;MT
a rainy day tomorrow;MT
will be a sunny morning tomorrow;MT
it looks like the weather will get worse in the afternoon;MT
there will be fog early tomorrow morning;MT
it will be cold this evening;MT
what is the weather forecast for the week;MT
it looks like a beautiful sunny day doesn't it;MT
what the weather will be tomorrow;MT
clearing is expected in the evening;MT
what is the minimum temperature forecast for tonight;MT
it will be a hot and muggy day;MT
risk of rain over the weekend;MT
