Frasi;Contesto
che ore sono;OR
hai l'orologio;OR
che ora è adesso;OR
mi sai dire che ora segna l'orologio;OR
mi puoi dire che ore sono al momento;OR
sapresti dirmi che ora è;OR
potresti dirmi gentilmente che ore sono;OR
scusa mi sapresti dire che ore sono;OR
per favore potresti dirmi che ore segna l'orologio;OR
avresti la cortesia di dirmi che ore sono;OR
mi faresti la gentilezza di dirmi che ora è;OR
potresti dirmi che ora è;OR
sai per caso che ore sono;OR
hai idea di che ora sia;OR
mi puoi dire l'orario attuale;OR
vorrei sapere l'ora esatta per favore;OR
mi indicheresti l'ora in questo momento;OR
mi potresti informare sull'orario corrente;OR
potresti farmi sapere che ore sono adesso;OR
sapresti dirmi l'ora giusta;OR
saresti così gentile da dirmi che ora è;OR
mi potresti svelare l'orario attuale;OR
hai modo di dirmi l'ora;OR
potresti darmi l'orario preciso;OR
sai darmi un'indicazione sull'ora;OR
mi puoi comunicare che ora segna l'orologio;OR
saresti così gentile da darmi l'orario;OR
mi dici che ora è per favore;OR
vorrei conoscere l'ora esatta in questo momento;OR
mi puoi dare l'orario corrente;OR
sai quale sia l'ora in questo istante;OR
mi informeresti sull'orario attuale;OR
potresti svelarmi che ore sono;OR
hai idea di che ora sia adesso;OR
mi puoi rivelare l'orario preciso;OR
potresti indicarmi che ora è;OR
sapresti dirmi l'orario giusto;OR
saresti così gentile da riferirmi che ora è;OR
mi dici che ora segna l'orologio per favore;OR
vorrei sapere che ora è in questo momento;OR
mi puoi fornire l'orario corrente;OR
sai che ora è ora;OR
mi dici che ore sono per favore;OR
potresti condividere con me l'orario attuale;OR
vorrei essere a conoscenza dell'ora esatta;OR
potresti svelare l'orario corrente;OR
sai dirmi quale ora segna l'orologio;OR
mi indichi gentilmente che ora è;OR
mi puoi riferire l'orario in questo momento;OR
hai idea di che ora sia ora;OR
potresti rivelarmi l'orario giusto;OR
sapresti dirmi che ore sono per favore;OR
mi dici che ora è adesso;OR
vorrei sapere che ore sono attualmente;OR
mi puoi svelare l'orario corrente per favore;OR
sai darmi un'indicazione sull'ora per favore;OR
mi puoi comunicare che ora è ora;OR
mi potresti indicare gentilmente l'orario attuale;OR
potresti riferirmi l'orario esatto;OR
vorrei sapere che ora segna l'orologio;OR
sapresti dirmi l'ora ti prego;OR
mi dici che ore sono ora;OR
sai quale ora è ti prego;OR
mi puoi informare sull'orario in questo momento;OR
vorrei sapere l'orario esatto per favore;OR
sapresti indicarmi che ore sono adesso;OR
potresti riferirmi l'orario corrente ti prego;OR
mi dici che ora segna l'orologio adesso;OR
mi puoi comunicare che ora è ti prego;OR
vorrei essere a conoscenza dell'orario attuale;OR
sapresti dirmi che ore sono in questo istante;OR
mi puoi indicare che ora è ora per favore;OR
potresti condividere con me l'orario corrente ti prego;OR
vorrei sapere che ora è ora per favore;OR
sai quale ora è ora ti prego;OR
